Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
degenerative changes of the left glenohumeral joint .,,,,,,,,,,,,,,
degenerative changes of the right glenohumeral joint .,,,,,,,,,,,,,,
degenerative changes of the right shoulder .,,,,,,,,,,,,,,
dense nodular opacities projecting over the lateral right lung base likely represent calcified granulomas .,,,,1,1,,,,,,,,,
dense nodular opacity projects over the right upper lung .,,,,1,1,,,,,,,,,
densely calcified nodular opacities projecting over the left lung likely represent calcified granulomas .,,,,,1,,,,,,,,,
"denser retrocardiac parenchymal opacity , with the same differential .",,,,,1,,,,,,,,,
descending thoracic aorta is mildly tortuous .,1,,,,,,,,,,,,,
descending thoracic aorta is tortuous .,1,,,,,,,,,,,,,
"device is present with lead tips projecting over the right atrial appendage , right ventricular apex and coronary vein .",1,,,,,,,,,,,,,1
dialysis catheter is at the cavoatrial junction .,1,,,,,,,,,,,,,1
dialysis catheter tip and right picc line are at the cavoatrial junction .,1,,,,,,,,,,,,,1
dialysis catheter tip is at the cavoatrial junction .,1,,,,,,,,,,,,,1
diffuse atheromatous calcifications of the visualized portions of the aorta .,,,,,,,,,,,,,,
diffuse bilateral opacities compatible with consolidation (ards) .,,,,,1,,1,,,,,,,
diffuse bilateral parenchymal opacities represent acute lung injury edema or infectious consolidation .,,,,,1,1,-1,1,,,,,,
diffuse consolidation ground-glass opacities may represent edema or acute lung injury .,,,,,1,-1,1,,,,,,,
diffuse ground-glass opacities may represent pulmonary edema .,,,,,1,-1,,,,,,,,
diffuse ground-glass opacities may represent pulmonary edema or pneumonia .,,,,,1,-1,,-1,,,,,,
diffuse ground-glass opacities noted .,,,,,1,,,,,,,,,
diffuse ground-glass opacity likely represents edema .,,,,,1,1,,,,,,,,
diffuse hazy opacities likely represent pulmonary edema .,,,,,1,1,,,,,,,,
diffuse hazy opacities may represent lung injury edema or consolidation .,,,,,1,1,-1,,,,,,,
diffuse hazy opacity could represent pulmonary edema .,,,,,1,-1,,,,,,,,
diffuse hazy opacity likely represents pulmonary edema .,,,,,1,1,,,,,,,,
diffuse hazy parenchymal opacities and possible peribronchial thickening .,,,,,1,,,,,,,,,
diffuse hazy parenchymal opacity in the left lung .,,,,,1,,,,,,,,,
diffuse interstitial thickening likely represents edema .,,,,,,1,,,,,,,,
diffuse interstitial thickening likely represents pulmonary edema .,,,,,,1,,,,,,,,
diffuse opacities in hemithoraces may represent a combination of bilateral pleural fluid and lung consolidation .,,,,,1,,-1,,,,-1,,,
diffuse osseous metastases are present .,1,,,,,,,,,,,,,
diffuse peribronchial cuffing consistent with pulmonary edema .,,,,,,1,,,,,,,,
"diffuse peribronchial cuffing consistent with pulmonary edema versus airway wall thickening , infection not excluded .",,,,,-1,-1,,-1,,,,,,
diffuse pulmonary opacities likely represent pulmonary edema .,,,,,1,1,,,,,,,,
diffuse reticular opacities and peribronchial thickening may represent pulmonary edema .,,,,,1,-1,,,,,,,,
diffuse reticular opacities are compatible with pulmonary edema .,,,,,1,-1,,,,,,,,
"diffuse reticular opacities are seen , compatible with pulmonary edema .",,,,,1,1,,,,,,,,
diffuse reticular opacities could represent edema .,,,,,1,-1,,,,,,,,
diffuse reticular opacities likely represent edema .,,,,,1,1,,,,,,,,
diffuse reticular opacities likely represent pulmonary edema .,,,,,1,1,,,,,,,,
diffuse reticular opacities likely represents pulmonary edema .,,,,,1,1,,,,,,,,
diffuse reticular opacity likely represents edema .,,,,,1,1,,,,,,,,
diffuse reticular opacity likely represents pulmonary edema .,,,,,1,1,,,,,,,,
displaced fracture of the proximal right humerus .,,,,,,,,,,,,,1,
double lumen catheter tip in the right atrium .,1,,,,,,,,,,,,,1
drainage catheter is in the basal left pleural space .,1,,,,,,,,,,,,,1
drainage catheter is likely present in the medial pleural space .,1,,,,,,,,,,,,,1
"drainage catheter terminates in the medial right pleural space or , possibly , in superior vena cava .",1,,,,,,,,,,,,,1
drainage tube is present in the basal right pleural space .,1,,,,,,,,,,,,,1
dual-chamber left pectoral cardiac pacemaker .,1,,,,,,,,,,,,,1
dual-chamber left pectoral cardiac pacemaker is present .,1,,,,,,,,,,,,,1
"dual-chamber left pectoral pacemaker device is present , with intact leads in the right atrial appendage and right ventricle .",1,,,,,,,,,,,,,1
ecg leads overlie the chest .,1,,,,,,,,,,,,,
edema versus patchy consolidation in the right lung .,,,,,,-1,-1,,,,,,,
"effusions , atelectasis , consolidation , or mass in the right hemithorax .",,,,-1,,,-1,,-1,,1,,,
elevated left hemidiaphragm .,1,,,,,,,,,,,,,
elevated left hemidiaphragm with prominent gastric air bubble .,,,,,,,,,,,,,,
elevated left hemidiaphragm with subdiaphragmatic bowel gas .,1,,,,,,,,,,,,,
elevated right diaphragm .,1,,,,,,,,,,,,,
elevated right hemidiaphragm .,1,,,,,,,,,,,,,
elevated right hemidiaphragm and probable right basal atelectasis .,,,,,,,,,-1,,,,,
elevated right hemidiaphragm versus patchy consolidation at the right lung base .,,,,,,,-1,,,,,,,
elevated right hemidiaphragm versus right basilar consolidation and / or pleural effusion .,,,,,,,-1,,,,-1,,,
elevation of right hemidiaphragm versus small right pleural effusion .,,,,,,,,,,,-1,,,
elevation of right hemidiaphragm with likely right basilar atelectasis .,,,,,,,,,1,,,,,
elevation of the left hemidiaphragm .,,,,,,,,,,,,,,
elevation of the right hemidiaphragm .,,,,,,,,,,,,,,
elevation of the right hemidiaphragm and volume loss of the right hemithorax .,,,,,,,,,,,,,,
emphysema is likely present in the right upper lobe .,,,,,,,,,,,,,,
endobronchial valves are present at the left hilum .,1,,,,,,,,,,,,,1
endobronchial valves project over the left hilum .,1,,,,,,,,,,,,,1
"endotracheal tube , central venous catheters and pa catheter properly positioned .",1,,,,,,,,,,,,,1
"endotracheal tube , left internal jugular central venous catheter , feeding tube and gastric tube and mediastinal drain are present .",1,,,,,,,,,,,,,1
"endotracheal tube , left internal jugular central venous catheter and gastric tube in satisfactory position .",1,,,,,,,,,,,,,1
"endotracheal tube , left jugular vein catheter , and pa catheter properly positioned .",1,,,,,,,,,,,,,1
"endotracheal tube , left jugular vein catheter and pa catheter are present .",1,,,,,,,,,,,,,1
"endotracheal tube , ng tube and right ij catheter adequately positioned .",1,,,,,,,,,,,,,1
"endotracheal tube , ng tube and right ij catheter are adequately positioned .",1,,,,,,,,,,,,,1
"endotracheal tube , right internal jugular and left picc in satisfactory position .",1,,,,,,,,,,,,,1
"endotracheal tube , right jugular vein catheter , and pa catheter are properly positioned .",1,,,,,,,,,,,,,1
"endotracheal tube , right jugular vein catheter and a gastric tube are present .",1,,,,,,,,,,,,,1
endotracheal tube and central venous catheter are properly positioned .,1,,,,,,,,,,,,,1
endotracheal tube and central venous catheters are properly positioned .,1,,,,,,,,,,,,,1
endotracheal tube and gastric tube are well positioned .,1,,,,,,,,,,,,,1
endotracheal tube and gastric tube in satisfactory position .,1,,,,,,,,,,,,,1
endotracheal tube and left internal jugular central venous catheter in satisfactory position .,1,,,,,,,,,,,,,1
endotracheal tube and left jugular vein catheter are properly positioned .,1,,,,,,,,,,,,,1
endotracheal tube and left picc in satisfactory position .,1,,,,,,,,,,,,,1
endotracheal tube and left subclavian central venous catheter in satisfactory position .,1,,,,,,,,,,,,,1
endotracheal tube and ng tubes are adequately positioned .,1,,,,,,,,,,,,,1
endotracheal tube and pa catheter are properly positioned .,1,,,,,,,,,,,,,1
endotracheal tube and pulmonary artery catheter appropriately positioned .,1,,,,,,,,,,,,,1
endotracheal tube and right internal jugular and left subclavian central venous catheters in satisfactory position .,1,,,,,,,,,,,,,1
endotracheal tube and right internal jugular central venous catheter in satisfactory position .,1,,,,,,,,,,,,,1
endotracheal tube and right internal jugular central venous catheters in satisfactory position .,1,,,,,,,,,,,,,1
endotracheal tube and right internal jugular pulmonary artery catheter in satisfactory position .,1,,,,,,,,,,,,,1
endotracheal tube and right jugular vein catheter are properly positioned .,1,,,,,,,,,,,,,1
endotracheal tube and right jugular vein catheter properly positioned .,1,,,,,,,,,,,,,1
endotracheal tube and right picc are properly positioned .,1,,,,,,,,,,,,,1
endotracheal tube and right picc in satisfactory position .,1,,,,,,,,,,,,,1
endotracheal tube and right subclavian central venous catheter in satisfactory position .,1,,,,,,,,,,,,,1
endotracheal tube appears in satisfactory position .,1,,,,,,,,,,,,,1
endotracheal tube central venous catheter and right picc are properly positioned .,1,,,,,,,,,,,,,1
endotracheal tube in central venous catheter is properly positioned .,1,,,,,,,,,,,,,1
endotracheal tube in satisfactory position .,1,,,,,,,,,,,,,1
endotracheal tube in the distal trachea .,1,,,,,,,,,,,,,1
endotracheal tube is adequately positioned .,1,,,,,,,,,,,,,1
endotracheal tube is close to the carina .,1,,,,,,,,,,,,,1
endotracheal tube is in satisfactory position .,1,,,,,,,,,,,,,1
endotracheal tube is just above the carina .,1,,,,,,,,,,,,,1
endotracheal tube is present .,1,,,,,,,,,,,,,1
endotracheal tube is properly positioned .,1,,,,,,,,,,,,,1
endotracheal tube is well positioned .,1,,,,,,,,,,,,,1
endotracheal tube overlies the mid trachea .,1,,,,,,,,,,,,,1
endotracheal tube overlies trachea .,1,,,,,,,,,,,,,1
endotracheal tube right jugular vein introducer sheath and temperature monitoring probe are properly positioned .,1,,,,,,,,,,,,,1
endotracheal tube should be withdrawn 3 centimeters .,1,,,,,,,,,,,,,1
endotracheal tube tip and right internal jugular central venous catheter in satisfactory position .,1,,,,,,,,,,,,,1
endotracheal tube tip in the mid trachea .,1,,,,,,,,,,,,,1
endotracheal tube tip is adequately positioned .,1,,,,,,,,,,,,,1
endotracheal tube tip over the lower esophagus .,1,,,,,,,,,,,,,1
endotracheal tube tip over the proximal trachea .,1,,,,,,,,,,,,,1
endotracheal tube tip projects 1-2 centimeters from the carina .,1,,,,,,,,,,,,,1
endotracheal tube tip projects over the lower trachea .,1,,,,,,,,,,,,,1
endotracheal tube tip projects over the mid trachea .,1,,,,,,,,,,,,,1
endotracheal tube tip projects over the mid-lower trachea .,1,,,,,,,,,,,,,1
endotracheal tube tip projects over the right main stem bronchus and is malpositioned .,1,,,,,,,,,,,,,1
"endotracheal tube tip projects over the upper trachea , recommend advancing .",1,,,,,,,,,,,,,1
endotracheal tube tip projects over the upper trachea .,1,,,,,,,,,,,,,1
endotracheal tube tip projects over the upper-mid trachea .,1,,,,,,,,,,,,,1
endotracheal tubes at the carina and should pull back 2 centimeters .,1,,,,,,,,,,,,,1
endotracheal tubes in satisfactory position .,1,,,,,,,,,,,,,1
endovascular stent graft is present in the thoracic and upper abdominal aorta .,1,,,,,,,,,,,,,
enlarged aortic knob .,1,,,,,,,,,,,,,
enlarged cardiac and mediastinal silhouette .,,1,,,,,,,,,,,,
enlarged cardiac contour .,,1,1,,,,,,,,,,,
enlarged cardiac silhouette .,,,1,,,,,,,,,,,
enlarged cardiac silhouette and probable pulmonary edema .,,,1,,,-1,,,,,,,,
enlarged cardiac silhouette noted .,,,1,,,,,,,,,,,
"enlarged cardiomediastinal silhouette , with regions of high-density material within mediastinum .",,1,,,,,,,,,,,,
enlarged cardiomediastinal silhouette .,,1,,,,,,,,,,,,
enlarged contour of the aortic arch adjacent to the stent .,,1,,,,,,,,,,,,
enlarged contour of the right hilum .,,1,,,,,,,,,,,,
enlarged contour of the superior left mediastinum versus nodular opacity versus osseous abnormality .,,1,,-1,-1,,,,,,,,,
enlarged hila bilaterally .,1,,,,,,,,,,,,,
enlarged left hilar contour likely representing a pulmonary mass / lymphadenopathy .,,1,,1,,,,,,,,,,
enlarged left hilar contour may represent a mass or enlarged pulmonary vessel .,,1,,-1,,,,,,,,,,
enlarged mediastinum .,,1,,,,,,,,,,,,
enlarged mediastinum-area lucency projecting over the mediastinum maybe due to a hiatal hernia .,,1,,,,,,,,,,,,
enlarged possible hila .,1,,,,,,,,,,,,,
enlarged right hilar contour .,,1,,,,,,,,,,,,
enlarged right hilar contour may represent lymphadenopathy or prominent vessel .,,1,,,,,,,,,,,,
enlarged right hilum noted .,1,,,,,,,,,,,,,
enlarged right mediastinal and hilar contours .,,1,,,,,,,,,,,,
enlarged right superior mediastinal contour .,,1,,,,,,,,,,,,
enlarged subaortic mediastinal contour .,,1,,,,,,,,,,,,
enlarged superior mediastinal and cardiac contours .,,1,1,,,,,,,,,,,
enlarged superior mediastinal contours .,,1,,,,,,,,,,,,
"enlarged superior mediastinum at the level of aortic arch , with possible pneumomediastinum .",,1,,,,,,,,,,,,
enlargement of the aortic arch may represent underlying acute aortic syndrome .,1,,,,,,,,,,,,,
enlargement the superior mediastinum noted .,,1,,,,,,,,,,,,
enteral tube is in the esophagus .,1,,,,,,,,,,,,,1
enteral tube is in the stomach .,1,,,,,,,,,,,,,1
enteral tube traverses the esophagus into the stomach .,1,,,,,,,,,,,,,1
enteral tube traverses the esophagus to the stomach .,1,,,,,,,,,,,,,1
enteric tube extends into the upper abdomen .,1,,,,,,,,,,,,,1
epicardial pacing wires .,1,,,,,,,,,,,,,
erosion / post-surgical resection of the right first and second ribs .,1,,,,,,,,,,,,,
erosion of portions of the right third rib .,1,,,,,,,,,,,,,
esophageal stent is present .,1,,,,,,,,,,,,,
esophageal stent projects over the mediastinum .,,1,,,,,,,,,,,,
esophageal stent spans the upper to lower mediastinum .,,1,,,,,,,,,,,,
"et tube , left picc , and right jugular vein introducer sheath are properly positioned .",1,,,,,,,,,,,,,1
et tube and ng tube are adequately positioned .,1,,,,,,,,,,,,,1
et tube is adequately positioned .,1,,,,,,,,,,,,,1
et tube is at the carina .,1,,,,,,,,,,,,,1
et tube is properly positioned .,1,,,,,,,,,,,,,1
evaluation compromised by chin overlying lung apices .,1,,,,,,,,,,,,,
evaluation compromised by collimation of the lung apices .,1,,,,,,,,,,,,,
evaluation compromised by culmination of the right hemithorax .,1,,,,,,,,,,,,,
evaluation compromised by metallic object overlying left hemithorax .,1,,,,,,,,,,,,,
evaluation compromised by overlapping hand .,1,,,,,,,,,,,,,
evaluation of the cardiomediastinal silhouette is limited .,,1,,,,,,,,,,,,
evaluation of the cardiomediastinal silhouette is limited by lung abnormalities .,,1,,,,,,,,,,,,
evaluation of the cardiomediastinal silhouette is limited by patient rotation .,,1,,,,,,,,,,,,
evaluation of the cardiomediastinal silhouette is limited by rotation .,,1,,,,,,,,,,,,
evaluation of the cardiomediastinal silhouette is obscured by pulmonary opacities .,,1,,,-1,,,,,,,,,
evaluation of the right apex is limited due to overlying subcutaneous emphysema .,,,,,,,,,,,,,,
exam is limited because of the underpenetrated technique .,1,,,,,,,,,,,,,
exam is limited by patient body habitus .,1,,,,,,,,,,,,,
exam somewhat limited because of patient rotation .,1,,,,,,,,,,,,,
examination compromised by body habitus .,1,,,,,,,,,,,,,
expected leftward shift of heart and mediastinum is present .,,1,,,,,,,,,,,,
extensive and diffuse pleural thickening is present in the right hemithorax .,,,,,,,,,,,,1,,
extensive bilateral ground-glass opacities or consolidation .,,,,,-1,,-1,,,,,,,
"extensive costochondral calcification , limiting evaluation of the lung parenchyma .",,,,,,,,,,,,,,
"extensive opacity in the left hemithorax is likely a combination of left pleural fluid and consolidated or atelectatic lung , mostly in the left lower lobe .",,,,,1,,-1,,-1,,1,,,
extensive opacity in the right hemithorax may represent a combination of pleural fluid and pleural thickening .,,,,,1,,,,,,-1,-1,,
extensive patchy bilateral pulmonary consolidation and ground-glass opacities .,,,,,1,,1,,,,,,,
"extensive pulmonary opacities , consistent with areas of consolidated and / or atelectatic lung , are present in the right upper lobe , right lower lobe and left lower lobe .",,,,,1,,-1,,1,,,,,
extensive soft tissue emphysema .,,,,,,,,,,,,,,
extensive soft tissue emphysema limits evaluation of the lung parenchyma .,,,,,,,,,,,,,,
extensive soft tissue emphysema limits evaluation of the lungs .,,,,,,,,,,,,,,
extensive subcutaneous emphysema .,,,,,,,,,,,,,,
"extensive subcutaneous emphysema is present , limiting evaluation of the lung parenchyma .",,,,,,,,,,,,,,
extensive subcutaneous emphysema without definite pneumothorax .,,,,,,,,,,0,,,,
"external material projecting over the lower hemithorax , limiting evaluation .",1,,,,,,,,,,,,,
external safety pin projects over the basilar right hemithorax .,1,,,,,,,,,,,,,
faint bibasilar parenchymal opacities may represent atelectasis or aspiration .,,,,,1,,,,-1,,,,,
faint opacities in the left lung base may represent ground-glass opacities or atelectasis .,,,,,1,,,,-1,,,,,
"faint reticular opacities in the right lung base may represent areas of fibrosis , chronic aspiration or atelectasis .",,,,,1,,,,-1,,,-1,,
feeding tube .,1,,,,,,,,,,,,,1
feeding tube and gastric tube courses below the diaphragm and beyond the field of view .,1,,,,,,,,,,,,,1
feeding tube courses below the diaphragm .,1,,,,,,,,,,,,,1
feeding tube courses below the diaphragm and beyond the field of view .,1,,,,,,,,,,,,,1
feeding tube courses below the diaphragm into the abdomen and is not well visualized .,1,,,,,,,,,,,,,-1
feeding tube extends into the left upper quadrant .,1,,,,,,,,,,,,,1
feeding tube extends into the left upper quadrant of the abdomen .,1,,,,,,,,,,,,,1
"feeding tube extends into the upper abdomen , not completely imaged .",1,,,,,,,,,,,,,1
"feeding tube extends into the upper abdomen , not well visualized .",1,,,,,,,,,,,,,1
"feeding tube extends into the upper abdomen , the tip is not imaged .",1,,,,,,,,,,,,,1
feeding tube extends into the upper abdomen .,1,,,,,,,,,,,,,1
feeding tube is in at least the stomach .,1,,,,,,,,,,,,,1
feeding tube is in the stomach .,1,,,,,,,,,,,,,1
feeding tube projects over the upper abdomen .,1,,,,,,,,,,,,,1
feeding tube tip is folded upon itself and appears to terminate in the expected location of the distal esophagus .,1,,,,,,,,,,,,,1
feeding tube tip projects over the body of the stomach .,1,,,,,,,,,,,,,1
feeding tube tip projects over the mid abdomen .,1,,,,,,,,,,,,,1
feeding tube tip projects over the stomach .,1,,,,,,,,,,,,,1
feeding tube with tip in the gastric body .,1,,,,,,,,,,,,,1
feeding tube with tip near the gastric esophageal junction .,1,,,,,,,,,,,,,1
feeding tube with tip projecting over the stomach .,1,,,,,,,,,,,,,1
few foci of scarring or subsegmental atelectasis in the periphery of the mid lungs .,,,,,-1,,,,-1,,,,,
few septal lines at the left base .,1,,,,,,,,,,,,,1
"finding likely represents pulmonary edema , less likely consolidation .",,,,,,1,1,,,,,,,
findings are present consistent with a large esophageal hiatus hernia .,,,,,,,,,,,,,,
findings are present consistent with a left lobectomy .,1,,,,,,,,,,,,,
findings are present consistent with a left upper lobectomy .,1,,,,,,,,,,,,,
findings are present consistent with left lung resection surgery .,1,,,,,,,,,,,,,
findings are present consistent with left pneumonectomy .,1,,,,,,,,,,,,,
findings are present consistent with prior left breast surgery .,1,,,,,,,,,,,,,
findings are present that may represent a prior left lobectomy .,1,,,,,,,,,,,,,
findings may be secondary to pulmonary edema versus mild interstitial lung disease .,,,,,1,-1,,,,,,,,
findings may represent consolidation or edema .,,,,,,-1,-1,,,,,,,
findings may represent pulmonary edema .,,,,,,-1,,,,,,,,
findings of an esophageal hiatus hernia present .,,,,,,,,,,,,,,
findings of left upper lobe atelectasis are present .,,,,,,,,,1,,,,,
findings of myocardial surgical revascularization are present .,1,,,,,,,,,,,,,
findings of obstructive left lower lobe atelectasis are present .,,,,,,,,,1,,,,,
findings of previous surgical myocardial vascularization are present .,1,,,,,,,,,,,,,
findings of surgical myocardial vascularization are present .,1,,,,,,,,,,,,,
findings of surgical revascularization are present .,1,,,,,,,,,,,,,
"fixation hardware in the thoracic spine , not completely evaluated .",1,,,,,,,,,,,,,-1
fixation hardware in the upper thoracic spine .,1,,,,,,,,,,,,,1
flattening of the right humeral head with sclerosis .,1,,,,,,,,,,,,,
focal consolidation in the right lower lobe .,,,,,,,1,,,,,,,
focal consolidation versus mass in the right perihilar lung .,,,,-1,,,-1,,,,,,,
focal elevation or eventration of the left hemidiaphragm .,,,,,,,,,,,,,,
focal narrowing is questionably present involving the trachea near the thoracic inlet .,1,,,,,,,,,,,,,
focal pleural thickening is likely present in the apical left hemithorax .,,,,,,,,,,,,1,,
focal sclerosis is likely present in the medial portion of the posterior arch of the left seventh rib .,1,,,,,,,,,,,,,
focal tracheal narrowing is questionably present opposite t1-t2 .,1,,,,,,,,,,,,,
foci of cavitation are present in the left lung apex .,1,,,,,,,,,,,,,
foci of subsegmental atelectasis are present in right lower lung .,,,,,,,,,1,,,,,
foci of subsegmental atelectasis are present in the adjacent left lower lung .,,,,,,,,,1,,,,,
foci of subsegmental atelectasis are present in the left lower lung .,,,,,,,,,1,,,,,
foci of subsegmental atelectasis are present in the left perihilar lung .,,,,,,,,,1,,,,,
foci of subsegmental atelectasis are present in the lower lungs .,,,,,,,,,1,,,,,
foci of subsegmental atelectasis are present in the medial and lower right lung and in the peripheral and lower left lung .,,,,,,,,,1,,,,,
foci of subsegmental atelectasis are present in the perihilar regions .,,,,,,,,,1,,,,,
foci of subsegmental atelectasis are present in the right lower lung .,,,,,,,,,1,,,,,
foci of subsegmental atelectasis are present in the right upper lobe and left lower lung .,,,,,,,,,1,,,,,
foci of subsegmental atelectasis or parenchymal scarring are present in the left lower lung .,,,,,-1,,,,-1,,,,,
foci subsegmental atelectasis are present in the lower lungs .,,,,,,,,,1,,,,,
focus of subsegmental atelectasis are present in the left lower lung .,,,,,,,,,1,,,,,
"fracture of at least one right rib , but likely multiple .",,,,,,,,,,,,,1,
fracture versus post-surgical defect of the posterior right sixth rib .,,,,,,,,,,,,,-1,
fractured pediatric sternotomy wires projecting over the upper mediastinum .,,1,,,,,,,,,,,1,
fractures are noted in the sixth and seventh right ribs as well as the left sixth rib .,,,,,,,,,,,,,1,
free air under the right hemidiaphragm .,1,,,,,,,,,,,,,
fusion hardware in the lower cervical spine .,1,,,,,,,,,,,,,1
fusion hardware in the lower thoracic and upper lumbar spine .,1,,,,,,,,,,,,,1
fusion plate is present in the lower cervical spine .,1,,,,,,,,,,,,,1
gas-containing inferior mediastinal collection may represent herniated stomach verses bowel .,,,,,,,,,,,,,,
gaseous distention bowel is present in left upper quadrant of the abdomen .,1,,,,,,,,,,,,,
gastric and feeding tube traverses the esophagus to the stomach .,1,,,,,,,,,,,,,1
"gastric and feeding tubes are present , not completely imaged .",1,,,,,,,,,,,,,1
gastric and feeding tubes extend into the upper abdomen .,1,,,,,,,,,,,,,1
"gastric tube , not completely imaged .",1,,,,,,,,,,,,,1
gastric tube courses below the diaphragm .,1,,,,,,,,,,,,,1
gastric tube courses below the diaphragm and beyond the field of view .,1,,,,,,,,,,,,,1
gastric tube courses below the diaphragm and folds upon itself with tip projecting over the mid esophagus .,1,,,,,,,,,,,,,1
gastric tube courses below the diaphragm and the tip is not well visualized .,1,,,,,,,,,,,,,1
gastric tube courses below the diaphragm and tip projects over the body of the stomach .,1,,,,,,,,,,,,,1
"gastric tube courses into the inferior mediastinum , and the tip is not well visualized .",,1,,,,,,,,,,,,1
gastric tube courses into the inferior mediastinum and the tip is not well visualized .,,1,,,,,,,,,,,,1
"gastric tube extends into the abdomen , the tip is not imaged .",1,,,,,,,,,,,,,1
"gastric tube extends into the gastroesophageal junction , not completely imaged .",1,,,,,,,,,,,,,1
gastric tube extends into the left upper quadrant .,1,,,,,,,,,,,,,1
"gastric tube extends into the upper abdomen , not completely imaged .",1,,,,,,,,,,,,,1
"gastric tube extends into the upper abdomen , not well evaluated .",1,,,,,,,,,,,,,1
"gastric tube extends into the upper abdomen , not well imaged .",1,,,,,,,,,,,,,1
"gastric tube extends into the upper abdomen , the tip is not imaged .",1,,,,,,,,,,,,,1
"gastric tube extends into the upper abdomen , tip not imaged .",1,,,,,,,,,,,,,1
gastric tube extends into the upper abdomen .,1,,,,,,,,,,,,,1
gastric tube extends to the upper abdomen .,1,,,,,,,,,,,,,1
gastric tube is in at least the upper esophagus .,1,,,,,,,,,,,,,1
gastric tube is in the esophagus .,1,,,,,,,,,,,,,1
gastric tube is in the stomach .,1,,,,,,,,,,,,,1
gastric tube is in the upper stomach .,1,,,,,,,,,,,,,1
gastric tube is located in the upper stomach .,1,,,,,,,,,,,,,1
"gastric tube is present , not well imaged .",1,,,,,,,,,,,,,1
"gastric tube is present , not well visualized .",1,,,,,,,,,,,,,-1
"gastric tube is present , the tip is not imaged .",1,,,,,,,,,,,,,1
"gastric tube is present , tip not imaged .",1,,,,,,,,,,,,,1
gastric tube is present .,1,,,,,,,,,,,,,1
gastric tube is well positioned .,1,,,,,,,,,,,,,1
gastric tube likely traverses an esophageal hiatus hernia into the stomach in hernia sac .,,,,,,,,,,,,,,1
gastric tube terminates in an esophageal hiatus hernia that contains stomach .,,,,,,,,,,,,,,1
gastric tube terminates in the gastric fundus .,1,,,,,,,,,,,,,1
gastric tube terminates in the upper stomach .,1,,,,,,,,,,,,,1
"gastric tube tip appears to project over the lower esophagus , recommend advancing .",1,,,,,,,,,,,,,1
gastric tube tip is folded upon itself at the ge junction with tip directed cranially .,1,,,,,,,,,,,,,1
gastric tube tip projects over the body of the stomach .,1,,,,,,,,,,,,,1
gastric tube tip projects over the gastric bubble .,1,,,,,,,,,,,,,1
gastric tube tip projects over the left upper abdomen .,1,,,,,,,,,,,,,1
"gastric tube tip projects over the mid-lower mediastinum , and likely resides within the esophagus .",,1,,,,,,,,,,,,1
gastric tube tip projects over the stomach .,1,,,,,,,,,,,,,1
gastric tube traverses the esophagus .,1,,,,,,,,,,,,,1
gastric tube traverses the esophagus into the stomach .,1,,,,,,,,,,,,,1
gastric tube traverses the esophagus to the stomach .,1,,,,,,,,,,,,,1
gastric tube traverses the esophagus towards the stomach .,1,,,,,,,,,,,,,1
gastric tube with side port projecting over the stomach .,1,,,,,,,,,,,,,1
general wires are intact .,1,,,,,,,,,,,,,
generator projects over the left hemithorax .,1,,,,,,,,,,,,,
ground-glass and consolidative opacities in the left lung .,,,,,1,,1,,,,,,,
ground-glass and consolidative opacities in the right lower lung .,,,,,1,,1,,,,,,,
ground-glass opacities and consolidation in the right lung .,,,,,1,,1,,,,,,,
ground-glass opacities and reticular opacities likely represents pulmonary edema .,,,,,1,1,,,,,,,,
ground-glass opacities at the right lung apex .,,,,,1,,,,,,,,,
ground-glass opacities in the left lung .,,,,,1,,,,,,,,,
ground-glass opacities in the right lung .,,,,,1,,,,,,,,,
ground-glass opacities in the right lung base .,,,,,1,,,,,,,,,
ground-glass opacities in the right lung may represent regions of subsegmental atelectasis or pulmonary edema .,,,,,1,-1,,,-1,,,,,
ground-glass opacities projecting over the lung bases may be due to overlying breast implants or parenchymal consolidation .,,,,,1,,-1,,,,,,,
ground-glass opacities throughout the aerated portions of the right lung .,,,,,1,,,,,,,,,
ground-glass opacities throughout the left lung .,,,,,1,,,,,,,,,
ground-glass opacity and airway wall thickening in the right lung .,,,,,1,,,,,,,,,
ground-glass opacity at the left lung base .,,,,,1,,,,,,,,,
ground-glass opacity at the right lung base .,,,,,1,,,,,,,,,
ground-glass opacity in the left infrahilar / basilar region .,,,,,1,,,,,,,,,
ground-glass opacity in the left upper lobe .,,,,,1,,,,,,,,,
ground-glass opacity in the right lower lobe .,,,,,1,,,,,,,,,
ground-glass opacity in the right lung base .,,,,,1,,,,,,,,,
"ground-glass opacity in the right upper lobe and at the right lung base , possibly also involving the left lung base .",,,,,1,,,,,,,,,
ground-glass opacity versus airway wall thickening at the right lung base .,,,,,-1,,,,,,,,,
ground-glass versus consolidative opacities in the left lung .,,,,,1,,-1,,,,,,,
hardware overlies the right humeral neck .,1,,,,,,,,,,,,,1
hazy airspace opacities in the left lung .,,,,,1,,,,,,,,,
hazy bibasilar opacities .,,,,,1,,,,,,,,,
hazy bibasilar opacities likely represent a combination of pleural effusion and atelectasis versus consolidation .,,,,,1,,-1,,-1,,1,,,
hazy bibasilar opacities likely represent combination of atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
